Datai,Dataf,P30,Livello
2016-02-28 00:00:00+00:00,2016-02-28 00:30:00+00:00,0,0.33
2016-02-28 00:30:00+00:00,2016-02-28 01:00:00+00:00,0.2,0.31
2016-02-28 01:00:00+00:00,2016-02-28 01:30:00+00:00,0.2,0.3
2016-02-28 01:30:00+00:00,2016-02-28 02:00:00+00:00,0,0.29
2016-02-28 02:00:00+00:00,2016-02-28 02:30:00+00:00,0,0.28
2016-02-28 02:30:00+00:00,2016-02-28 03:00:00+00:00,0,0.27
2016-02-28 03:00:00+00:00,2016-02-28 03:30:00+00:00,0,0.27
2016-02-28 03:30:00+00:00,2016-02-28 04:00:00+00:00,0,0.26
2016-02-28 04:00:00+00:00,2016-02-28 04:30:00+00:00,0.2,0.26
2016-02-28 04:30:00+00:00,2016-02-28 05:00:00+00:00,0,0.26
2016-02-28 05:00:00+00:00,2016-02-28 05:30:00+00:00,0.2,0.25
2016-02-28 05:30:00+00:00,2016-02-28 06:00:00+00:00,0.4,0.25
2016-02-28 06:00:00+00:00,2016-02-28 06:30:00+00:00,0,0.24
2016-02-28 06:30:00+00:00,2016-02-28 07:00:00+00:00,0.2,0.24
2016-02-28 07:00:00+00:00,2016-02-28 07:30:00+00:00,0,0.24
2016-02-28 07:30:00+00:00,2016-02-28 08:00:00+00:00,0,0.25
2016-02-28 08:00:00+00:00,2016-02-28 08:30:00+00:00,0,0.24
2016-02-28 08:30:00+00:00,2016-02-28 09:00:00+00:00,0,0.24
2016-02-28 09:00:00+00:00,2016-02-28 09:30:00+00:00,0,0.24
2016-02-28 09:30:00+00:00,2016-02-28 10:00:00+00:00,0,0.24
2016-02-28 10:00:00+00:00,2016-02-28 10:30:00+00:00,0,0.24
2016-02-28 10:30:00+00:00,2016-02-28 11:00:00+00:00,0,0.24
2016-02-28 11:00:00+00:00,2016-02-28 11:30:00+00:00,0,0.24
2016-02-28 11:30:00+00:00,2016-02-28 12:00:00+00:00,0,0.24
2016-02-28 12:00:00+00:00,2016-02-28 12:30:00+00:00,0,0.23
2016-02-28 12:30:00+00:00,2016-02-28 13:00:00+00:00,0,0.23
2016-02-28 13:00:00+00:00,2016-02-28 13:30:00+00:00,0,0.23
2016-02-28 13:30:00+00:00,2016-02-28 14:00:00+00:00,0,0.22
2016-02-28 14:00:00+00:00,2016-02-28 14:30:00+00:00,0,0.22
2016-02-28 14:30:00+00:00,2016-02-28 15:00:00+00:00,0,0.22
2016-02-28 15:00:00+00:00,2016-02-28 15:30:00+00:00,0,0.22
2016-02-28 15:30:00+00:00,2016-02-28 16:00:00+00:00,0,0.21
2016-02-28 16:00:00+00:00,2016-02-28 16:30:00+00:00,0,0.21
2016-02-28 16:30:00+00:00,2016-02-28 17:00:00+00:00,0.8,0.21
2016-02-28 17:00:00+00:00,2016-02-28 17:30:00+00:00,1.6,0.21
2016-02-28 17:30:00+00:00,2016-02-28 18:00:00+00:00,0.8,0.21
2016-02-28 18:00:00+00:00,2016-02-28 18:30:00+00:00,0.8,0.21
2016-02-28 18:30:00+00:00,2016-02-28 19:00:00+00:00,4,0.21
2016-02-28 19:00:00+00:00,2016-02-28 19:30:00+00:00,3,0.21
2016-02-28 19:30:00+00:00,2016-02-28 20:00:00+00:00,1.2,0.22
2016-02-28 20:00:00+00:00,2016-02-28 20:30:00+00:00,0.8,0.26
2016-02-28 20:30:00+00:00,2016-02-28 21:00:00+00:00,0.6,0.48
2016-02-28 21:00:00+00:00,2016-02-28 21:30:00+00:00,0.2,0.84
2016-02-28 21:30:00+00:00,2016-02-28 22:00:00+00:00,0.8,1.01
2016-02-28 22:00:00+00:00,2016-02-28 22:30:00+00:00,1.2,0.92
2016-02-28 22:30:00+00:00,2016-02-28 23:00:00+00:00,1.8,0.8
2016-02-28 23:00:00+00:00,2016-02-28 23:30:00+00:00,2.6,0.71
2016-02-28 23:30:00+00:00,2016-02-29 00:00:00+00:00,2.8,0.68
2016-02-29 00:00:00+00:00,2016-02-29 00:30:00+00:00,2.6,0.73
2016-02-29 00:30:00+00:00,2016-02-29 01:00:00+00:00,3.8,0.83
2016-02-29 01:00:00+00:00,2016-02-29 01:30:00+00:00,1,1.01
2016-02-29 01:30:00+00:00,2016-02-29 02:00:00+00:00,0.2,1.24
2016-02-29 02:00:00+00:00,2016-02-29 02:30:00+00:00,0,1.3
2016-02-29 02:30:00+00:00,2016-02-29 03:00:00+00:00,0,1.38
2016-02-29 03:00:00+00:00,2016-02-29 03:30:00+00:00,0.4,1.35
2016-02-29 03:30:00+00:00,2016-02-29 04:00:00+00:00,0,1.02
2016-02-29 04:00:00+00:00,2016-02-29 04:30:00+00:00,0,0.81
2016-02-29 04:30:00+00:00,2016-02-29 05:00:00+00:00,0,0.67
2016-02-29 05:00:00+00:00,2016-02-29 05:30:00+00:00,0,0.59
2016-02-29 05:30:00+00:00,2016-02-29 06:00:00+00:00,0,0.53
2016-02-29 06:00:00+00:00,2016-02-29 06:30:00+00:00,0.4,0.49
2016-02-29 06:30:00+00:00,2016-02-29 07:00:00+00:00,0,0.46
2016-02-29 07:00:00+00:00,2016-02-29 07:30:00+00:00,0,0.43
2016-02-29 07:30:00+00:00,2016-02-29 08:00:00+00:00,0,0.41
2016-02-29 08:00:00+00:00,2016-02-29 08:30:00+00:00,0,0.4
2016-02-29 08:30:00+00:00,2016-02-29 09:00:00+00:00,0.2,0.4
2016-02-29 09:00:00+00:00,2016-02-29 09:30:00+00:00,0.8,0.39
2016-02-29 09:30:00+00:00,2016-02-29 10:00:00+00:00,0.2,0.36
2016-02-29 10:00:00+00:00,2016-02-29 10:30:00+00:00,0,0.34
2016-02-29 10:30:00+00:00,2016-02-29 11:00:00+00:00,0,0.34
2016-02-29 11:00:00+00:00,2016-02-29 11:30:00+00:00,0,0.33
2016-02-29 11:30:00+00:00,2016-02-29 12:00:00+00:00,0,0.34
2016-02-29 12:00:00+00:00,2016-02-29 12:30:00+00:00,0,0.33
2016-02-29 12:30:00+00:00,2016-02-29 13:00:00+00:00,0,0.34
2016-02-29 13:00:00+00:00,2016-02-29 13:30:00+00:00,0.2,0.33
2016-02-29 13:30:00+00:00,2016-02-29 14:00:00+00:00,0.6,0.32
2016-02-29 14:00:00+00:00,2016-02-29 14:30:00+00:00,0.4,0.31
2016-02-29 14:30:00+00:00,2016-02-29 15:00:00+00:00,0.4,0.3
2016-02-29 15:00:00+00:00,2016-02-29 15:30:00+00:00,3.4,0.3
2016-02-29 15:30:00+00:00,2016-02-29 16:00:00+00:00,3.6,0.29
2016-02-29 16:00:00+00:00,2016-02-29 16:30:00+00:00,2.6,0.29
2016-02-29 16:30:00+00:00,2016-02-29 17:00:00+00:00,1,0.31
2016-02-29 17:00:00+00:00,2016-02-29 17:30:00+00:00,0.8,0.37
2016-02-29 17:30:00+00:00,2016-02-29 18:00:00+00:00,0.4,0.7
2016-02-29 18:00:00+00:00,2016-02-29 18:30:00+00:00,0,0.87
2016-02-29 18:30:00+00:00,2016-02-29 19:00:00+00:00,0,0.86
2016-02-29 19:00:00+00:00,2016-02-29 19:30:00+00:00,0,0.72
2016-02-29 19:30:00+00:00,2016-02-29 20:00:00+00:00,0,0.64
2016-02-29 20:00:00+00:00,2016-02-29 20:30:00+00:00,0,0.57
2016-02-29 20:30:00+00:00,2016-02-29 21:00:00+00:00,0,0.51
2016-02-29 21:00:00+00:00,2016-02-29 21:30:00+00:00,0,0.47
2016-02-29 21:30:00+00:00,2016-02-29 22:00:00+00:00,0,0.46
2016-02-29 22:00:00+00:00,2016-02-29 22:30:00+00:00,0,0.42
2016-02-29 22:30:00+00:00,2016-02-29 23:00:00+00:00,0,0.4
2016-02-29 23:00:00+00:00,2016-02-29 23:30:00+00:00,0,0.38
2016-02-29 23:30:00+00:00,2016-03-01 00:00:00+00:00,0,0.36
